time,open,high,low,close,volume
2022-07-19 09:45:00,147.92,148.49,147.15,147.38,6188415
2022-07-19 09:30:00,147.73,147.9792,147.6,147.92,168729
2022-07-19 09:15:00,147.61,147.82,147.44,147.77,163760
2022-07-19 09:00:00,147.4,147.8,147.35,147.581,185698
2022-07-19 08:45:00,147.17,147.45,147.15,147.4,169703
2022-07-19 08:30:00,147.46,147.4699,147.18,147.19,91471
2022-07-19 08:15:00,147.63,147.73,146.703,147.45,506409
2022-07-19 08:00:00,147.38,147.65,147.38,147.53,69354
2022-07-19 07:45:00,147.57,147.64,147.34,147.37,28616
2022-07-19 07:30:00,147.67,147.67,147.45,147.57,15955
2022-07-19 07:15:00,147.68,147.68,147.31,147.64,53403
2022-07-19 07:00:00,147.76,147.76,147.54,147.67,14665
2022-07-19 06:45:00,147.83,147.98,147.74,147.81,19146
2022-07-19 06:30:00,147.8,147.8,147.6,147.79,17218
2022-07-19 06:15:00,147.58,147.8,147.47,147.8,11221
2022-07-19 06:00:00,147.69,147.77,147.56,147.61,10799
2022-07-19 05:45:00,147.68,147.68,147.6,147.64,8813
2022-07-19 05:30:00,147.44,148.0,147.4,147.69,30140
2022-07-19 05:15:00,147.35,147.44,147.26,147.44,6074
2022-07-19 05:00:00,147.11,147.4,147.07,147.4,6668
2022-07-19 04:45:00,146.95,147.25,146.95,147.13,9488
2022-07-19 04:30:00,146.95,147.07,146.9,147.0,6309
2022-07-19 04:15:00,147.24,147.24,146.85,146.94,18462
2022-07-18 20:00:00,147.0,147.0,146.76,146.9,25821
2022-07-18 19:45:00,146.88,147.0,146.3,146.95,37195
2022-07-18 19:30:00,146.6,146.89,146.6,146.87,23718
2022-07-18 19:15:00,146.73,146.73,146.45,146.6,16569
2022-07-18 19:00:00,146.71,146.75,146.68,146.73,10270
2022-07-18 18:45:00,146.62,146.75,146.6,146.73,20378
2022-07-18 18:30:00,146.42,146.67,146.4,146.67,18858
2022-07-18 18:15:00,146.54,146.58,146.3,146.47,45010
2022-07-18 18:00:00,146.63,146.64,146.44,146.5,36015
2022-07-18 17:45:00,146.65,147.07,146.59,146.65,32900
2022-07-18 17:30:00,146.6802,146.72,146.6,146.62,50055
2022-07-18 17:15:00,146.9,147.07,146.68,146.68,50287
2022-07-18 17:00:00,146.87,146.99,146.82,146.89,33568
2022-07-18 16:45:00,146.88,146.92,146.84,146.85,41875
2022-07-18 16:30:00,146.92,146.99,146.88,146.88,3454043
2022-07-18 16:15:00,147.07,147.18,146.85,146.92,852047
2022-07-18 16:00:00,147.12,147.18,146.7,147.13,5774164
2022-07-18 15:45:00,147.19,147.31,146.95,147.13,3270614
2022-07-18 15:30:00,147.49,147.84,147.18,147.18,2158212
2022-07-18 15:15:00,147.29,147.7099,147.22,147.5,2305900
2022-07-18 15:00:00,147.6,147.79,147.21,147.3,2459852
2022-07-18 14:45:00,147.72,151.1,147.56,147.58,2774149
2022-07-18 14:30:00,147.7862,148.24,147.67,147.72,3363373
2022-07-18 14:15:00,147.79,147.88,147.31,147.785,3311268
2022-07-18 14:00:00,148.981,149.044,147.2,147.795,6717560
2022-07-18 13:45:00,150.47,150.52,148.91,148.99,6496500
2022-07-18 13:30:00,150.6,150.62,150.25,150.4797,1350517
2022-07-18 13:15:00,150.7499,150.7937,150.49,150.5999,1164619
2022-07-18 13:00:00,150.97,150.98,150.71,150.75,1413067
2022-07-18 12:45:00,150.97,151.07,150.91,150.974,833397
2022-07-18 12:30:00,151.24,151.2708,150.94,150.98,921969
2022-07-18 12:15:00,151.41,151.41,151.1,151.242,987401
2022-07-18 12:00:00,151.315,151.43,151.12,151.405,1404273
2022-07-18 11:45:00,150.89,151.315,150.82,151.3101,1585869
2022-07-18 11:30:00,151.05,151.13,150.875,150.8951,1249365
2022-07-18 11:15:00,151.21,151.43,150.92,151.05,1768926
2022-07-18 11:00:00,150.8002,151.31,150.5812,151.195,1970849
2022-07-18 10:45:00,151.0,151.15,150.67,150.795,1834709
2022-07-18 10:30:00,151.06,151.0772,150.72,151.0,1953018
2022-07-18 10:15:00,151.12,151.57,150.77,151.0616,3015787
2022-07-18 10:00:00,150.82,151.38,150.74,151.1024,3804658
2022-07-18 09:45:00,150.74,151.33,150.27,150.8475,6528826
2022-07-18 09:30:00,151.08,151.08,150.44,150.75,226286
2022-07-18 09:15:00,151.19,151.2,150.96,151.08,85582
2022-07-18 09:00:00,151.04,151.23,150.87,151.19,68270
2022-07-18 08:45:00,150.99,151.2,150.96,151.03,94110
2022-07-18 08:30:00,151.45,151.45,150.96,150.99,102180
2022-07-18 08:15:00,151.5499,151.7,150.95,151.46,161136
2022-07-18 08:00:00,151.47,151.6,151.45,151.45,24227
2022-07-18 07:45:00,151.63,151.63,151.46,151.47,28538
2022-07-18 07:30:00,151.61,151.7,151.6,151.63,19914
2022-07-18 07:15:00,151.5,151.67,151.31,151.61,75835
2022-07-18 07:00:00,151.42,151.55,151.42,151.51,4245
2022-07-18 06:45:00,151.57,151.57,151.4,151.42,5444
2022-07-18 06:30:00,151.45,151.5,151.44,151.46,4038
2022-07-18 06:15:00,151.45,151.5,151.43,151.43,2325
2022-07-18 06:00:00,151.57,151.57,151.4,151.5,9756
2022-07-18 05:45:00,151.5,151.59,151.49,151.5,5708
2022-07-18 05:30:00,151.58,151.68,151.58,151.63,4346
2022-07-18 05:15:00,151.69,151.75,151.51,151.52,5713
2022-07-18 05:00:00,151.77,151.77,151.69,151.7,4613
2022-07-18 04:45:00,151.84,151.9,151.68,151.9,17225
2022-07-18 04:30:00,151.59,151.85,151.56,151.85,8287
2022-07-18 04:15:00,150.61,151.79,150.61,151.56,37842
2022-07-15 20:00:00,150.04,150.07,150.03,150.03,14628
